holiday,date,firstobs,firstproc
Europe Day,2009-05-09,1950,1950
Mother’s Day,2009-05-10,1907,1907
Armed Forces Day,2009-05-16,1936,1950
Victoria Day,2009-05-18,1837,1845
Memorial Day,2009-05-25,1868,1868
Australian Queen’s Birthday,2009-06-08,1953,1953
Father’s Day,2009-06-21,1910,1910
Summer Solstice,2009-06-21,-10000,-10000
Aboriginal Day,2009-06-21,1990,1990
St. Jean-Baptiste Day,2009-06-24,1638,1638
Canada Day,2009-07-01,1867,1867
Independence Day,2009-07-04,1776,1776
Utah Pioneer Day,2009-07-24,1847,1847
Parents' Day,2009-07-26,1994,1994
Canada Civic Day,2009-08-03,1970,1970
Change Your Passwords Day,2009-09-04,2009,2009
Canadian Labour Day,2009-09-07,1884,1884
American Labor Day,2009-09-07,1882,1882
Grandparents Day,2009-09-14,1978,1978
Autumnal Equinox,2009-09-22,-10000,-10000
Canadian Thanksgiving,2009-10-12,1700,1700
Columbus Day,2009-10-12,1905,1905
Creationism Day,2009-10-23,-4004,-4004
Halloween,2009-10-31,-2000,-2000
Daylight Saving Time End,2009-11-01,1916,1916
Remembrance Day,2009-11-11,1918,1931
Veterans Day,2009-11-11,1918,1938
American Thanksgiving,2009-11-26,1621,1621
Black Friday,2009-11-27,1960,1960
St. Andrews Day,2009-11-30,732,732
World AIDS Day,2009-12-01,1988,1988
Human Rights Day,2009-12-10,1950,1950
Winter Solstice,2009-12-21,-10000,-10000
Christmas Eve,2009-12-24,1,1
Christmas in UK and Canada,2009-12-25,1,1
Christmas in the USA,2009-12-25,1,1
Boxing Day in UK and Canada,2009-12-26,1,1
New Year’s Eve,2009-12-31,-154,-154
New Year’s Day,2010-01-01,-153,-153
Martin Luther King Day,2010-01-18,1986,1986
Robbie Burns Day aka Burns Nicht,2010-01-25,1759,1759
Australia Day,2010-01-26,1804,1804
Groundhog Day,2010-02-02,1841,1841
Valentine’s Day,2010-02-14,200,200
Presidents Day,2010-02-15,1971,1971
Alberta Family Day,2010-02-15,1900,1900
Mardi Gras,2010-02-16,1583,1583
Ash Wednesday,2010-02-17,1583,1583
Commonwealth Day,2010-03-08,1976,1976
Daylight Saving Time Start,2010-03-14,1916,1916
St. Patrick’s day,2010-03-17,400,400
Vernal Equinox,2010-03-20,-10000,-10000
Earth Hour,2010-03-27,2007,2007
Palm Sunday,2010-03-28,1583,1583
April Fools’ Day,2010-04-01,1564,1564
Good Friday,2010-04-02,1583,1583
Easter Sunday,2010-04-04,30,30
Easter Monday,2010-04-05,1583,1583
Earth Day,2010-04-22,1970,1970
ANZAC Day,2010-04-25,1915,1915
Cinco de Mayo,2010-05-05,1809,1809
Europe Day,2010-05-09,1950,1950
Mother’s Day,2010-05-09,1907,1907
Armed Forces Day,2010-05-15,1936,1950
Victoria Day,2010-05-24,1837,1845
Memorial Day,2010-05-31,1868,1868
Australian Queen’s Birthday,2010-06-14,1953,1953
Father’s Day,2010-06-20,1910,1910
Summer Solstice,2010-06-21,-10000,-10000
Aboriginal Day,2010-06-21,1990,1990
St. Jean-Baptiste Day,2010-06-24,1638,1638
Canada Day,2010-07-01,1867,1867
Independence Day,2010-07-04,1776,1776
Utah Pioneer Day,2010-07-24,1847,1847
Parents' Day,2010-07-25,1994,1994
Canada Civic Day,2010-08-02,1970,1970
Change Your Passwords Day,2010-09-03,2009,2009
Canadian Labour Day,2010-09-06,1884,1884
American Labor Day,2010-09-06,1882,1882
Grandparents Day,2010-09-13,1978,1978
Autumnal Equinox,2010-09-23,-10000,-10000
Canadian Thanksgiving,2010-10-11,1700,1700
Columbus Day,2010-10-11,1905,1905
Creationism Day,2010-10-23,-4004,-4004
Halloween,2010-10-31,-2000,-2000
General Election Day,2010-11-02,1789,1789
Daylight Saving Time End,2010-11-07,1916,1916
Remembrance Day,2010-11-11,1918,1931
Veterans Day,2010-11-11,1918,1938
American Thanksgiving,2010-11-25,1621,1621
Black Friday,2010-11-26,1960,1960
St. Andrews Day,2010-11-30,732,732
World AIDS Day,2010-12-01,1988,1988
Human Rights Day,2010-12-10,1950,1950
Winter Solstice,2010-12-21,-10000,-10000
Christmas Eve,2010-12-24,1,1
Christmas in UK and Canada,2010-12-25,1,1
Christmas in the USA,2010-12-25,1,1
Boxing Day in UK and Canada,2010-12-26,1,1
New Year’s Eve,2010-12-31,-154,-154
New Year’s Day,2011-01-01,-153,-153
US Congressional Start Day,2011-01-03,1789,1789
Martin Luther King Day,2011-01-17,1986,1986
Robbie Burns Day aka Burns Nicht,2011-01-25,1759,1759
Australia Day,2011-01-26,1804,1804
Groundhog Day,2011-02-02,1841,1841
Valentine’s Day,2011-02-14,200,200
Presidents Day,2011-02-21,1971,1971
Alberta Family Day,2011-02-21,1900,1900
Mardi Gras,2011-03-08,1583,1583
Ash Wednesday,2011-03-09,1583,1583
Daylight Saving Time Start,2011-03-13,1916,1916
Commonwealth Day,2011-03-14,1976,1976
St. Patrick’s day,2011-03-17,400,400
Vernal Equinox,2011-03-20,-10000,-10000
Earth Hour,2011-03-26,2007,2007
April Fools’ Day,2011-04-01,1564,1564
Palm Sunday,2011-04-17,1583,1583
Good Friday,2011-04-22,1583,1583
Earth Day,2011-04-22,1970,1970
Easter Sunday,2011-04-24,30,30
Easter Monday,2011-04-25,1583,1583
ANZAC Day,2011-04-25,1915,1915
Cinco de Mayo,2011-05-05,1809,1809
Mother’s Day,2011-05-08,1907,1907
Europe Day,2011-05-09,1950,1950
Armed Forces Day,2011-05-21,1936,1950
Victoria Day,2011-05-23,1837,1845
Memorial Day,2011-05-30,1868,1868
Australian Queen’s Birthday,2011-06-13,1953,1953
Father’s Day,2011-06-19,1910,1910
Summer Solstice,2011-06-21,-10000,-10000
Aboriginal Day,2011-06-21,1990,1990
St. Jean-Baptiste Day,2011-06-24,1638,1638
Canada Day,2011-07-01,1867,1867
Independence Day,2011-07-04,1776,1776
Utah Pioneer Day,2011-07-24,1847,1847
Parents' Day,2011-07-24,1994,1994
Canada Civic Day,2011-08-01,1970,1970
Change Your Passwords Day,2011-09-02,2009,2009
Canadian Labour Day,2011-09-05,1884,1884
American Labor Day,2011-09-05,1882,1882
Grandparents Day,2011-09-12,1978,1978
Autumnal Equinox,2011-09-23,-10000,-10000
Canadian Thanksgiving,2011-10-10,1700,1700
Columbus Day,2011-10-10,1905,1905
Creationism Day,2011-10-23,-4004,-4004
Halloween,2011-10-31,-2000,-2000
Daylight Saving Time End,2011-11-06,1916,1916
Remembrance Day,2011-11-11,1918,1931
Veterans Day,2011-11-11,1918,1938
American Thanksgiving,2011-11-24,1621,1621
Black Friday,2011-11-25,1960,1960
St. Andrews Day,2011-11-30,732,732
World AIDS Day,2011-12-01,1988,1988
Human Rights Day,2011-12-10,1950,1950
Winter Solstice,2011-12-22,-10000,-10000
Christmas Eve,2011-12-24,1,1
Christmas in UK and Canada,2011-12-25,1,1
Christmas in the USA,2011-12-25,1,1
Boxing Day in UK and Canada,2011-12-26,1,1
New Year’s Eve,2011-12-31,-154,-154
New Year’s Day,2012-01-01,-153,-153
Martin Luther King Day,2012-01-16,1986,1986
Robbie Burns Day aka Burns Nicht,2012-01-25,1759,1759
Australia Day,2012-01-26,1804,1804
Groundhog Day,2012-02-02,1841,1841
Valentine’s Day,2012-02-14,200,200
Presidents Day,2012-02-20,1971,1971
Alberta Family Day,2012-02-20,1900,1900
Mardi Gras,2012-02-21,1583,1583
Ash Wednesday,2012-02-22,1583,1583
Daylight Saving Time Start,2012-03-11,1916,1916
Commonwealth Day,2012-03-12,1976,1976
St. Patrick’s day,2012-03-17,400,400
Vernal Equinox,2012-03-20,-10000,-10000
Earth Hour,2012-03-31,2007,2007
Palm Sunday,2012-04-01,1583,1583
April Fools’ Day,2012-04-01,1564,1564
Good Friday,2012-04-06,1583,1583
Easter Sunday,2012-04-08,30,30
Easter Monday,2012-04-09,1583,1583
Earth Day,2012-04-22,1970,1970
ANZAC Day,2012-04-25,1915,1915
Cinco de Mayo,2012-05-05,1809,1809
Europe Day,2012-05-09,1950,1950
Mother’s Day,2012-05-13,1907,1907
Armed Forces Day,2012-05-19,1936,1950
Victoria Day,2012-05-21,1837,1845
Memorial Day,2012-05-28,1868,1868
Australian Queen’s Birthday,2012-06-11,1953,1953
Father’s Day,2012-06-17,1910,1910
Summer Solstice,2012-06-20,-10000,-10000
Aboriginal Day,2012-06-21,1990,1990
St. Jean-Baptiste Day,2012-06-24,1638,1638
Canada Day,2012-07-02,1867,1867
Independence Day,2012-07-04,1776,1776
Parents' Day,2012-07-22,1994,1994
Utah Pioneer Day,2012-07-24,1847,1847
Canada Civic Day,2012-08-06,1970,1970
Canadian Labour Day,2012-09-03,1884,1884
American Labor Day,2012-09-03,1882,1882
Change Your Passwords Day,2012-09-07,2009,2009
Grandparents Day,2012-09-10,1978,1978
Autumnal Equinox,2012-09-22,-10000,-10000
Canadian Thanksgiving,2012-10-08,1700,1700
Columbus Day,2012-10-08,1905,1905
Creationism Day,2012-10-23,-4004,-4004
Halloween,2012-10-31,-2000,-2000
Daylight Saving Time End,2012-11-04,1916,1916
General Election Day,2012-11-06,1789,1789
Remembrance Day,2012-11-11,1918,1931
Veterans Day,2012-11-11,1918,1938
American Thanksgiving,2012-11-22,1621,1621
Black Friday,2012-11-23,1960,1960
St. Andrews Day,2012-11-30,732,732
World AIDS Day,2012-12-01,1988,1988
Human Rights Day,2012-12-10,1950,1950
Winter Solstice,2012-12-21,-10000,-10000
Christmas Eve,2012-12-24,1,1
Christmas in UK and Canada,2012-12-25,1,1
Christmas in the USA,2012-12-25,1,1
Boxing Day in UK and Canada,2012-12-26,1,1
New Year’s Eve,2012-12-31,-154,-154
New Year’s Day,2013-01-01,-153,-153
US Congressional Start Day,2013-01-03,1789,1789
Martin Luther King Day,2013-01-21,1986,1986
US Presidential Inauguration Day,2013-01-21,1789,1789
Robbie Burns Day aka Burns Nicht,2013-01-25,1759,1759
Australia Day,2013-01-26,1804,1804
Groundhog Day,2013-02-02,1841,1841
Mardi Gras,2013-02-12,1583,1583
Ash Wednesday,2013-02-13,1583,1583
Valentine’s Day,2013-02-14,200,200
Presidents Day,2013-02-18,1971,1971
Alberta Family Day,2013-02-18,1900,1900
Daylight Saving Time Start,2013-03-10,1916,1916
Commonwealth Day,2013-03-11,1976,1976
St. Patrick’s day,2013-03-17,400,400
Vernal Equinox,2013-03-20,-10000,-10000
Palm Sunday,2013-03-24,1583,1583
Good Friday,2013-03-29,1583,1583
Earth Hour,2013-03-30,2007,2007
Easter Sunday,2013-03-31,30,30
April Fools’ Day,2013-04-01,1564,1564
Easter Monday,2013-04-01,1583,1583
Earth Day,2013-04-22,1970,1970
ANZAC Day,2013-04-25,1915,1915
Cinco de Mayo,2013-05-05,1809,1809
Europe Day,2013-05-09,1950,1950
Mother’s Day,2013-05-12,1907,1907
Armed Forces Day,2013-05-18,1936,1950
Victoria Day,2013-05-20,1837,1845
Memorial Day,2013-05-27,1868,1868
Australian Queen’s Birthday,2013-06-10,1953,1953
Father’s Day,2013-06-16,1910,1910
Summer Solstice,2013-06-21,-10000,-10000
Aboriginal Day,2013-06-21,1990,1990
St. Jean-Baptiste Day,2013-06-24,1638,1638
Canada Day,2013-07-01,1867,1867
Independence Day,2013-07-04,1776,1776
Utah Pioneer Day,2013-07-24,1847,1847
Parents' Day,2013-07-28,1994,1994
Canada Civic Day,2013-08-05,1970,1970
Canadian Labour Day,2013-09-02,1884,1884
American Labor Day,2013-09-02,1882,1882
Change Your Passwords Day,2013-09-06,2009,2009
Grandparents Day,2013-09-09,1978,1978
Autumnal Equinox,2013-09-22,-10000,-10000
Canadian Thanksgiving,2013-10-14,1700,1700
Columbus Day,2013-10-14,1905,1905
Creationism Day,2013-10-23,-4004,-4004
Halloween,2013-10-31,-2000,-2000
Daylight Saving Time End,2013-11-03,1916,1916
Remembrance Day,2013-11-11,1918,1931
Veterans Day,2013-11-11,1918,1938
American Thanksgiving,2013-11-28,1621,1621
Black Friday,2013-11-29,1960,1960
St. Andrews Day,2013-11-30,732,732
World AIDS Day,2013-12-01,1988,1988
Human Rights Day,2013-12-10,1950,1950
Winter Solstice,2013-12-21,-10000,-10000
Christmas Eve,2013-12-24,1,1
Christmas in UK and Canada,2013-12-25,1,1
Christmas in the USA,2013-12-25,1,1
Boxing Day in UK and Canada,2013-12-26,1,1
New Year’s Eve,2013-12-31,-154,-154
New Year’s Day,2014-01-01,-153,-153
Martin Luther King Day,2014-01-20,1986,1986
Robbie Burns Day aka Burns Nicht,2014-01-25,1759,1759
Australia Day,2014-01-26,1804,1804
Groundhog Day,2014-02-02,1841,1841
Valentine’s Day,2014-02-14,200,200
Presidents Day,2014-02-17,1971,1971
Alberta Family Day,2014-02-17,1900,1900
Mardi Gras,2014-03-04,1583,1583
Ash Wednesday,2014-03-05,1583,1583
Daylight Saving Time Start,2014-03-09,1916,1916
Commonwealth Day,2014-03-10,1976,1976
St. Patrick’s day,2014-03-17,400,400
Vernal Equinox,2014-03-20,-10000,-10000
Earth Hour,2014-03-29,2007,2007
April Fools’ Day,2014-04-01,1564,1564
Palm Sunday,2014-04-13,1583,1583
Good Friday,2014-04-18,1583,1583
Easter Sunday,2014-04-20,30,30
Easter Monday,2014-04-21,1583,1583
Earth Day,2014-04-22,1970,1970
ANZAC Day,2014-04-25,1915,1915
Cinco de Mayo,2014-05-05,1809,1809
Europe Day,2014-05-09,1950,1950
Mother’s Day,2014-05-11,1907,1907
Armed Forces Day,2014-05-17,1936,1950
Victoria Day,2014-05-19,1837,1845
Memorial Day,2014-05-26,1868,1868
Australian Queen’s Birthday,2014-06-09,1953,1953
Father’s Day,2014-06-15,1910,1910
Summer Solstice,2014-06-21,-10000,-10000
Aboriginal Day,2014-06-21,1990,1990
St. Jean-Baptiste Day,2014-06-24,1638,1638
Canada Day,2014-07-01,1867,1867
Independence Day,2014-07-04,1776,1776
Utah Pioneer Day,2014-07-24,1847,1847
Parents' Day,2014-07-27,1994,1994
Canada Civic Day,2014-08-04,1970,1970
Canadian Labour Day,2014-09-01,1884,1884
American Labor Day,2014-09-01,1882,1882
Change Your Passwords Day,2014-09-05,2009,2009
Grandparents Day,2014-09-08,1978,1978
Autumnal Equinox,2014-09-23,-10000,-10000
Canadian Thanksgiving,2014-10-13,1700,1700
Columbus Day,2014-10-13,1905,1905
Creationism Day,2014-10-23,-4004,-4004
Halloween,2014-10-31,-2000,-2000
Daylight Saving Time End,2014-11-02,1916,1916
General Election Day,2014-11-04,1789,1789
Remembrance Day,2014-11-11,1918,1931
Veterans Day,2014-11-11,1918,1938
American Thanksgiving,2014-11-27,1621,1621
Black Friday,2014-11-28,1960,1960
St. Andrews Day,2014-11-30,732,732
World AIDS Day,2014-12-01,1988,1988
Human Rights Day,2014-12-10,1950,1950
Winter Solstice,2014-12-21,-10000,-10000
Christmas Eve,2014-12-24,1,1
Christmas in UK and Canada,2014-12-25,1,1
Christmas in the USA,2014-12-25,1,1
Boxing Day in UK and Canada,2014-12-26,1,1
New Year’s Eve,2014-12-31,-154,-154
New Year’s Day,2015-01-01,-153,-153
US Congressional Start Day,2015-01-03,1789,1789
Martin Luther King Day,2015-01-19,1986,1986
Robbie Burns Day aka Burns Nicht,2015-01-25,1759,1759
Australia Day,2015-01-26,1804,1804
Groundhog Day,2015-02-02,1841,1841
Valentine’s Day,2015-02-14,200,200
Presidents Day,2015-02-16,1971,1971
Alberta Family Day,2015-02-16,1900,1900
Mardi Gras,2015-02-17,1583,1583
Ash Wednesday,2015-02-18,1583,1583
Daylight Saving Time Start,2015-03-08,1916,1916
Commonwealth Day,2015-03-09,1976,1976
St. Patrick’s day,2015-03-17,400,400
Vernal Equinox,2015-03-20,-10000,-10000
Earth Hour,2015-03-28,2007,2007
Palm Sunday,2015-03-29,1583,1583
April Fools’ Day,2015-04-01,1564,1564
Good Friday,2015-04-03,1583,1583
Easter Sunday,2015-04-05,30,30
Easter Monday,2015-04-06,1583,1583
Earth Day,2015-04-22,1970,1970
ANZAC Day,2015-04-25,1915,1915
Cinco de Mayo,2015-05-05,1809,1809
Europe Day,2015-05-09,1950,1950
Mother’s Day,2015-05-10,1907,1907
Armed Forces Day,2015-05-16,1936,1950
Victoria Day,2015-05-18,1837,1845
Memorial Day,2015-05-25,1868,1868
Australian Queen’s Birthday,2015-06-08,1953,1953
Father’s Day,2015-06-21,1910,1910
Summer Solstice,2015-06-21,-10000,-10000
Aboriginal Day,2015-06-21,1990,1990
St. Jean-Baptiste Day,2015-06-24,1638,1638
Canada Day,2015-07-01,1867,1867
Independence Day,2015-07-04,1776,1776
Utah Pioneer Day,2015-07-24,1847,1847
Parents' Day,2015-07-26,1994,1994
Canada Civic Day,2015-08-03,1970,1970
Change Your Passwords Day,2015-09-04,2009,2009
Canadian Labour Day,2015-09-07,1884,1884
American Labor Day,2015-09-07,1882,1882
Grandparents Day,2015-09-14,1978,1978
Autumnal Equinox,2015-09-23,-10000,-10000
Canadian Thanksgiving,2015-10-12,1700,1700
Columbus Day,2015-10-12,1905,1905
Creationism Day,2015-10-23,-4004,-4004
Halloween,2015-10-31,-2000,-2000
Daylight Saving Time End,2015-11-01,1916,1916
Remembrance Day,2015-11-11,1918,1931
Veterans Day,2015-11-11,1918,1938
American Thanksgiving,2015-11-26,1621,1621
Black Friday,2015-11-27,1960,1960
St. Andrews Day,2015-11-30,732,732
World AIDS Day,2015-12-01,1988,1988
Human Rights Day,2015-12-10,1950,1950
Winter Solstice,2015-12-22,-10000,-10000
Christmas Eve,2015-12-24,1,1
Christmas in UK and Canada,2015-12-25,1,1
Christmas in the USA,2015-12-25,1,1
Boxing Day in UK and Canada,2015-12-26,1,1
New Year’s Eve,2015-12-31,-154,-154
New Year’s Day,2016-01-01,-153,-153
Martin Luther King Day,2016-01-18,1986,1986
Robbie Burns Day aka Burns Nicht,2016-01-25,1759,1759
Australia Day,2016-01-26,1804,1804
Groundhog Day,2016-02-02,1841,1841
Mardi Gras,2016-02-09,1583,1583
Ash Wednesday,2016-02-10,1583,1583
Valentine’s Day,2016-02-14,200,200
Presidents Day,2016-02-15,1971,1971
Alberta Family Day,2016-02-15,1900,1900
Daylight Saving Time Start,2016-03-13,1916,1916
Commonwealth Day,2016-03-14,1976,1976
St. Patrick’s day,2016-03-17,400,400
Vernal Equinox,2016-03-20,-10000,-10000
Palm Sunday,2016-03-20,1583,1583
Good Friday,2016-03-25,1583,1583
Earth Hour,2016-03-26,2007,2007
Easter Sunday,2016-03-27,30,30
Easter Monday,2016-03-28,1583,1583
April Fools’ Day,2016-04-01,1564,1564
Earth Day,2016-04-22,1970,1970
ANZAC Day,2016-04-25,1915,1915
Cinco de Mayo,2016-05-05,1809,1809
Mother’s Day,2016-05-08,1907,1907
Europe Day,2016-05-09,1950,1950
Armed Forces Day,2016-05-21,1936,1950
Victoria Day,2016-05-23,1837,1845
Memorial Day,2016-05-30,1868,1868
Australian Queen’s Birthday,2016-06-13,1953,1953
Father’s Day,2016-06-19,1910,1910
Summer Solstice,2016-06-20,-10000,-10000
Aboriginal Day,2016-06-21,1990,1990
St. Jean-Baptiste Day,2016-06-24,1638,1638
Canada Day,2016-07-01,1867,1867
Independence Day,2016-07-04,1776,1776
Utah Pioneer Day,2016-07-24,1847,1847
Parents' Day,2016-07-24,1994,1994
Canada Civic Day,2016-08-01,1970,1970
Change Your Passwords Day,2016-09-02,2009,2009
Canadian Labour Day,2016-09-05,1884,1884
American Labor Day,2016-09-05,1882,1882
Grandparents Day,2016-09-12,1978,1978
Autumnal Equinox,2016-09-22,-10000,-10000
Canadian Thanksgiving,2016-10-10,1700,1700
Columbus Day,2016-10-10,1905,1905
Creationism Day,2016-10-23,-4004,-4004
Halloween,2016-10-31,-2000,-2000
Daylight Saving Time End,2016-11-06,1916,1916
General Election Day,2016-11-08,1789,1789
Remembrance Day,2016-11-11,1918,1931
Veterans Day,2016-11-11,1918,1938
American Thanksgiving,2016-11-24,1621,1621
Black Friday,2016-11-25,1960,1960
St. Andrews Day,2016-11-30,732,732
World AIDS Day,2016-12-01,1988,1988
Human Rights Day,2016-12-10,1950,1950
Winter Solstice,2016-12-21,-10000,-10000
Christmas Eve,2016-12-24,1,1
Christmas in UK and Canada,2016-12-25,1,1
Christmas in the USA,2016-12-25,1,1
Boxing Day in UK and Canada,2016-12-26,1,1
New Year’s Eve,2016-12-31,-154,-154
New Year’s Day,2017-01-01,-153,-153
US Congressional Start Day,2017-01-03,1789,1789
Martin Luther King Day,2017-01-16,1986,1986
US Presidential Inauguration Day,2017-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,2017-01-25,1759,1759
Australia Day,2017-01-26,1804,1804
Groundhog Day,2017-02-02,1841,1841
Valentine’s Day,2017-02-14,200,200
Presidents Day,2017-02-20,1971,1971
Alberta Family Day,2017-02-20,1900,1900
Mardi Gras,2017-02-28,1583,1583
Ash Wednesday,2017-03-01,1583,1583
Daylight Saving Time Start,2017-03-12,1916,1916
Commonwealth Day,2017-03-13,1976,1976
St. Patrick’s day,2017-03-17,400,400
Vernal Equinox,2017-03-20,-10000,-10000
Earth Hour,2017-03-25,2007,2007
April Fools’ Day,2017-04-01,1564,1564
Palm Sunday,2017-04-09,1583,1583
Good Friday,2017-04-14,1583,1583
Easter Sunday,2017-04-16,30,30
Easter Monday,2017-04-17,1583,1583
Earth Day,2017-04-22,1970,1970
ANZAC Day,2017-04-25,1915,1915
Cinco de Mayo,2017-05-05,1809,1809
Europe Day,2017-05-09,1950,1950
Mother’s Day,2017-05-14,1907,1907
Armed Forces Day,2017-05-20,1936,1950
Victoria Day,2017-05-22,1837,1845
Memorial Day,2017-05-29,1868,1868
Australian Queen’s Birthday,2017-06-12,1953,1953
Father’s Day,2017-06-18,1910,1910
Summer Solstice,2017-06-21,-10000,-10000
Aboriginal Day,2017-06-21,1990,1990
St. Jean-Baptiste Day,2017-06-24,1638,1638
Canada Day,2017-07-01,1867,1867
Independence Day,2017-07-04,1776,1776
Parents' Day,2017-07-23,1994,1994
Utah Pioneer Day,2017-07-24,1847,1847
